titulo,autor,ano,status,busca
Love Is Just Around the Corner,,,1,titulo
Love me or leave me,,,1,titulo
Love Theme from The Godfather,,,1,titulo
Love Walked In,,,1,titulo
"Lover, Come Back To Me",,,1,titulo
Lover Man,,,1,titulo
Lover,Richard Rodgers / Lorenz Hart,1932,1,completa
Lullaby of birdland,,,1,titulo
Lullaby of Broadway,Harry Warren / Al Dubin,1935,1,completa
Lulu’s Back In Town,,,1,titulo
Lush Life,Billy Strayhorn,1933–1936,1,completa
Mack the knife,Kurt Weill / Bertolt Brecht,1928,1,completa
Makin` Whoopee,Gus Khan / Walter Donaldson,1928,1,completa
Mame,Jerry Herman,1955,1,completa
Manhã de Carnaval,,,1,titulo
Margie,Con Conrad / J. Russel Robinson / Benny Davis,1920,1,completa
Meditation,Antônio Carlos Jobim / Newton Mendonça,1962,1,completa
Mein Herr from Cabaret,Fred Ebb / John Kander,1972,1,completa
Memories of you,Eubie Blake / Andy Razaf,1930,1,completa
"Mercy, Mercy, Mercy",,,1,titulo
Ми-ми-мишки,,,1,titulo
Midnight Sun,Lionel Hampton / Sonny Burke / Johnny Mercer,1947,1,completa
Minor Mood,Yusef Lateef,1957,1,completa
Minor Swing,Django Reinhardt / Stéphane Grappelli,1937,1,completa
Minority,Gigi Gryce,1953,1,completa
Miss Otis Regrets,Cole Porter,1934,1,completa
Mississippi Delta Blues,Jimmie Rodgers / Jack Neville,1933,1,completa
Mister Sandman,Pat Ballard,1954,1,completa
Misty Roses,,,1,titulo
Misty,Erroll Garner / Johnny Burke,1954,1,completa
Molten Glass,,,1,titulo
Monk’s Dream,Thelonious Monk,1948,1,completa
Mood Indigo,1930- Duke Ellington / Barney Bigard / Irving Mills,,1,completa
Moon River,Henry Mancini / Johnny Mercer,1961,1,completa
Moonglow,Will Hudson / Irving Mills / Eddie DeLange,1933,1,completa
Moonlight in Vermont,John Blackburn / Karl Suessdorf,1944,1,completa
Moonlight Serenade,Glenn Miller / Mitchell Parish,1939,1,completa
More Than You Know,Vincent Youmans / Billy Rose / Edward Eliscu,1929,1,completa
Muskrat Ramble,,,1,titulo
Mustang,Gennadiy Bondarev,1967,0,
My Blue Heaven,Walter Donaldson / George A. Whiting,1927,1,completa
My Cherie Amor,Stevie Wonder,1969,1,completa
My favorite things,Richard Rodgers / Oscar Hammerstein II,1959,1,completa
My Funny Valentine,Richard Rodgers / Lorenz Hart,1937,1,completa
My Heart Stood Still,Richard Rodgers / Lorenz Hart,1927,1,completa
My Ideal,Richard A. Whiting / Newell Chase /Leo Robin,1930,1,completa
My Little Suede Shoes,,,1,titulo
My Man’s Gone Now,George Gershwin / DuBose Heyward,1935,1,completa
My Melancholy Baby,Ernie Burnett / George A. Norton,1912,1,completa
My One and Only Love,Guy Wood / Robert Mellin,1952,1,completa
My Romance,Lorenz Hart / Richard Rodgers,1935,1,completa
My Shining Hour,Harold Arlen / Johnny Mercer,1943,1,completa
My Ship,Kurt Weill / Ira Gershwin,1941,1,completa
My Way,Claude François / Gilles Thibaut / Jacques Revaux / Paul Anka,1969,1,completa
My Window Faces The South,A. Silver / M. Parish / J. Livingstone,1933,1,completa
Naima,John Coltrane,1959,1,completa
Namely You,Gene DePaul / Johnny Mercer,1956,1,completa
Nancy (with the Laughing Face),Jimmy Van Heusen / Phil Silvers,1942,1,completa
Nardis,Miles Davis,1958,1,completa
Nature Boy,Eden Ahbez,1948,1,completa
Nearness,Bob Gillis,,1,completa
Nefertiti,,,0,
"New York, New York",John Kander / Fred Ebb,1977,1,completa
Nica’s Dream,Horace Silver,1954,1,completa
Nice Work If You Can Get It,,,1,titulo
Night and day,Cole Porter,1932,1,completa
No Moon at All,,,1,titulo
No More Blues,Antonio Carlos Jobim / Jon Hendricks / Jessie Cavanaugh / Vinicius DeMoraes,1957,1,completa
No Regrets,,,1,titulo
Nobody Else but Me,,,1,titulo
Not Like This,,,1,titulo
Nothing’s Gonna Change My Love for You,Michael Masser / Gerry Goffin,1984,1,completa
Now’s the Time,Charlie Parker,1945,1,completa
Nuages,Django Reinhardt,1940,1,completa
O Grande Amor,Antonio Carlos Jobim / Vinicius DeMoraes,1963,1,completa
Oblivion,Ástor Piazzolla,1982,1,completa
Ode To A Flugelhorn,Clark Terry,1965,1,completa
Offshore,Booker Little,,1,completa
Old Devil Moon,,,1,titulo
Old Fashioned Love,James P. Johnson / Cecil Mack,1923,1,completa
Old Folks,,,1,titulo
Oleo,Sonny Rollins,1954,1,completa
On a Clear Day (You Can See Forever),,,1,titulo
On a Slow Boat to China,,,1,titulo
On Green Dolphin Street,,,1,titulo
On The Atchison Topeka And The Santa Fe,Harry Warren / Johnny Mercer,1945,1,completa
On the Street Where You Live,Frederick Loewe / Alan Jay Lerner,1956,1,completa
On The Sunny Side Of The Street,Jimmy McHugh / Dorothy Fields,1930,1,completa
Once I Loved (O Amor Em Paz),Antônio Carlos Jobim / Vinícius de Moraes / Ray Gilbert,1960,1,completa
Once in a While,Michael Edwards / Bud Green,1937,1,completa
One Note Samba,Antônio Carlos Jobim / Newton Mendonça / Jon Hendricks,1960,1,completa
Only Trust Your Heart,Benny Carter / Sammy Cahn,1964,1,completa
Only You,,,1,titulo
Opus One,Sy Oliver / Sid Garris,1943,1,completa
Out Of Nowhere,Johnny Green / Edward Heyman,1931,1,completa
Over The Rainbow,Harold Arlen / E.Y. Harburg,1939,1,completa
Padam Padam (Edith Piaf),Norbert Glanzberg / Henri Contet,1951,1,completa
Palm Springs Jump,Slim Gaillard,1942,1,completa
Parisian Thoroughfare,Earl “Bud” Powell,1951,1,completa
Park Avenue Petite,,,1,titulo
"Paroles, paroles",,,1,titulo
Passion Flower,,,1,titulo
Peace,,,0,
Pee Wee,,,1,titulo
Pennies from Heaven,,,1,titulo
Pensativa,,,1,titulo
Perdido,Juan Tizol / Ervin Drake / Hans Lengsfelder,1941,1,completa
Perfidia – (Вернись),Alberto Domínguez / Г. Регистан,,1,completa
"Perhaps, Perhaps, Perhaps",Osvaldo Farrés,1947,1,completa
Песенка про водевиль,М. Дунаевский / Л. Дербенёв,,1,completa
Petit Fleur,Sidney Bechet,1952,1,completa
Please Don’t Talk About Me When I’m Gone,,,1,titulo
Poinciana,Nat Simon / Buddy Bernier,1936,1,completa
Polka Dots and Moonbeams,,,1,titulo
Por una Cabeza,Carlos Gardel / Alfredo Le Pera,1935,1,completa
Portrait of Jennie,,,1,titulo
Potato Chips,Slim Gaillard,,1,completa
Prelude in E Minor,,,1,titulo
Prelude to a Kiss,Duke Ellington / Irving Gordon / Irving Mills,1938,1,completa
Prince Albert,Kenny Dorham,1955,1,completa
Prisoner Of Love,Russ Columbo / Clarence Gaskill / Leo Robin,1931,1,completa
Put on a Happy Face,,,1,titulo
Puttin on the Ritz,Irving Berlin,1927,1,completa
"Quando, Quando, Quando",Tony Renis / Alberto Testa,1962,1,completa
Quasimodo,,,1,titulo
Rag Mop,Johnnie Lee Wills / Deacon Anderson,1949,1,completa
Ray’s Idea,Raymond Brown / Walter Fuller,,1,completa
Recado Bossa Nova (The Gift),,,1,titulo
Red Roses for a Blue Lady,Sid Tepper / C. Bennett,1948,1,completa
Reflections,,,1,titulo
Right Or Wrong,Arthur Sizemore /Paul Biese / Haven Gillespie,1921,1,completa
Robbin’s Nest,Illinois Jacques / Sir Charles Thompson,1947,1,completa
Rose Room,Art Hickman / Harry Williams,1917,1,completa
Rosetta,Earl Hines / Henri Wood,1933,1,completa
Round Midnight,Thelonius Monk / Bernie Hanighen,1943,1,completa
Route 66,Bobby Troup,1946,1,completa
Royal garden blues,Clarence Williams / Spencer Williams,1919,1,completa
"Ruby, My Dear",Thelonious Monk,1945,1,completa
Russian Lullaby,Irving Berlin,1927,1,completa
Salute To Bandbox,Gigi Gryce / Clifford Brown,1958,1,completa
Samba De Orfeu,Luiz Bonfá,1959,1,completa
Samba do Avião,,,1,titulo
Santa Claus Is Comin’ to Town,,,1,titulo
Satin Doll,Duke Ellington / Billy Strayhorn /Johnny Mercer,1953,1,completa
Scotch and Soda,Dave Guard,1958,1,completa
Scrapple from the Apple,Charlie Parker,1947,1,completa
Second Line Parade,Traditional,,1,completa
Sent For You Yesterday,William ‘Count’ Basie / Eddie Durham / James Andrew Rushing,1938,1,completa
Sentimental Journey,Les Brown / Ben Homer,1944,1,completa
September Song,Kurt Weill / Maxwell Anderson,1938,0,
Shape of my heart,,,1,titulo
Shine,Ford Dabney / Cecil Mack / Tin Pan Alley / Lew Brown,1910,1,completa
Shoo Shoo Baby,Phil Moore,1943,1,completa
"Sing, Sing, Sing",Louis Prima,1936,1,completa
Sister Sadie,,,1,titulo
Skylark,Johnny Mercer / Hoagy Carmichael,1942,1,completa
Sleepy Time Down South,Clarence Muse / Leon René / Otis René,1931,1,completa
Smok Gets In Your Eyes,Otto Harbach / Jerome Kern,1933,1,completa
Smoke on the Water,Ritchie Blackmore / Ian Gillan / Roger Glover / Jon Lord / Ian Paice,1971,1,completa
Só Danço Samba,Antonio Carlos Jobim / Vinicius DeMoraes / Norman Gimbel,1962,1,completa
"Softly, as in a Morning Sunrise",Sigmund Romberg / Oscar Hammerstein II,1928,1,completa
Solid,Sonny Rollins,1956,1,completa
Some of These Days,Shelton Brooks,1910,1,completa
Somebody Stole My Gal,Leo Wood,1918,1,completa
Someday My Prince Will Come,Frank Churchill / Larry Morey,1937,1,completa
Someday (You’ll Be Sorry),Louis Armstrong,1955,1,completa
Someday (You’ll Want Me to Want You),Jimmy Hodges,1940,1,completa
Sometime Ago,Sergio Mihanovitch,1962,1,completa
Sophisticated Lady,Duke Ellington / Irving Mills / Mitchell Parish,1932,1,completa
Soul Bossa Nova,Quincy Jones,1962,1,completa
Soul Eyes,Mal Waldron,1957,1,completa
Spain,,,1,titulo
Speak Low,Kurt Weill / Ogden Nash,1943,1,completa
Splanky,Neal Paul Hefti,1950,1,completa
S’posin’,Andy Razaf / Paul Denniker,1929,1,completa
St. James Infirmary,Don Redman / Irving Mills,1928,1,completa
St Louis Blues,W. C. Handy,1914,1,completa
St.Thomas,Sonny Rollins,1956,1,completa
Stablemates,Benny Golson,1955,1,completa
Stardust,Hoagy Carmichael,1927,1,completa
Stars Fell on Alabama,Frank Perkins / Mitchell Parish,1934,1,completa
Stella by Starlight,Victor Young,1944,1,completa
Stompin At The Savoy,Edgar Sampson,1933,1,completa
Stormy Weather,,,0,
Straighten Up And Fly Right,Nat King Cole / Irving Mills,1943,1,completa
Stranger on the Shore,,,1,titulo
Strangers in the Night,Bert Kaempfert / Charles Singleton / Eddie Snyder,1966,1,completa
Struttin` With Some Barbeque,Lillian Hardin Armstrong / Don Raye,1928,1,completa
Summer Samba,Marcos Valle / Norman Gimbel / Paulo Sérgio Valle,1964,1,completa
Summertime,George Gershwin / DuBose Heyward / Ira Gershwin,1935,1,completa
Sunny,Bobby Hebb,1966,1,completa
Sway,Luis Demetrio / Norman Gimbel,1953,1,completa
Sweet Georgia Brown,Ben Bernie / Maceo Pinkard / Kenneth Casey,1925,1,completa
Sweet Lorraine,Cliff Burwell / Mitchell Parish,1928,1,completa
Sweet Sue – Just You,Victor Young / Will J. Harris,1928,1,completa
Swing 42,Django Reinhardt,,1,completa
Swing That Music,Louis Armsrong / Horace Gerlach,1936,1,completa
Take Five,Paul Desmond,1959,1,completa
Take The “A” Train,Billy Strayhorn / Joya Sherrill / Lee Gaines,1939,1,completa
Taking A Chance On Love,Vernon Duke / John La Touche / Ted Fetter,1940,1,completa
Tea for two,Vincent Youmans / Irving Caesar,1924,1,completa
Teach Me Tonight,Gene De Paul / Sammy Cahn,1953,1,completa
Teaneck,Nat Adderley,,1,completa
Tenderly,Walter Gross / Jack Lawrence,1946,1,completa
That Chick’s Too Young To Fry,Tommy Edwards / Jimmy Hilliard,1945,1,completa
That’s All,Alan Brandt / Bob Haymes,1952,1,completa
The Christmas Song,,,1,titulo
Days Of Wine And Roses,Henry Mancini / Johnny Mercer,1962,1,completa
The Duke,Dave Brubeck,1955,1,completa
The Girl From Ipanema,Antônio Carlos Jobim / Vinícius de Moraes / Norman Gimbel,1963,1,completa
The Good Life,Sacha Distel / Jack Reardon,1962,1,completa
The Gypsy,B. Reed,,1,completa
The Jody Grind,,,1,titulo
The Lady Is a Tramp,Richard Rodgers / Lorenz Hart,1937,1,completa
The Man I Love,George Gershwin / Ira Gershwin,1924,1,completa
The Man That Got Away,Harold Arlen / Ira Gershwin,1953,1,completa
The Nearness Of You,Carmichael / Ned Washington,1937,1,completa
The Party’s Over,Betty Comden / Adolph Green / Jule Styne,1956,1,completa
The Preacher,Horace Silver,1955,1,completa
The Shadow of Your Smile,Johnny Mandel / Paul Francis Webster,1965,1,completa
The Shake of Araby,Ted Snyder / Harry B. Smith / Francis Wheeler,1921,1,completa
The Touch of Your Lips,Ray Noble,1936,1,completa
The Very Thought of You,Ray Noble,1934,1,completa
The Way You Look Tonight,Jerome Kern / Dorothy Fields,1936,1,completa
The world is waiting for the sunrise,Raymond Roberts / Gene Lockhart,1919,1,completa
The World We Knew (Over and Over),,,1,titulo
Them There Eyes,Maceo Pinkard / Doris Tauber / William Tracey,1930,1,completa
Theme for Ernie,Fred Lacey,,1,completa
Then I’ll Be Happy,Cliff Friend / Lew Brown / Sidney Clare,1925,1,completa
There Is No Greater Love,,,1,titulo
There will never be another you,1942- Harry Warren / Mack Gordon,,1,completa
There’ll Be Some Changes Made,Benton Overstreet / Billy Higgins,1921,1,completa
These Foolish Things,Jack Strachey / Harry Link / Eric Maschwitz,1935,1,completa
They Call It Stormy Monday,Aaron Walker a.k.a. T-Bone Walker,1947,1,completa
They Can’t Take That Away From Me,George Gershwin / Ira Gershwin,1937,1,completa
Things Ain’t What They Used To Be,Mercer Ellington / Ted Persons,1942,1,completa
This Love of Mine,Sol Parker / Henry Sanicola / Frank Sinatra,1941,1,completa
This Masquerade,Leon Russell,1972,1,completa
Three O’Clock in the Morning,Dorothy Terriss / Julian Robledo,1919,1,completa
Till There Was You,Meredith Wilson,1950,1,completa
Tin Roof Blues,George Brunies / Paul Mares / Ben Pollack / Leon Roppolo / Mel Stitzel / Walter Melrose,1923,1,completa
Tombe la neige,Salvatore Adamo,1963,1,completa
Too Many Tears,Harry Warren / Dublin,1932,1,completa
"Toot, Toot, Tootsie (Goo’ Bye!)",Gus Kahn / Ernie Erdman / Danny Russo,1922,1,completa
Triste,Antônio Carlos Jobim,1966,1,completa
Tuxedo Junction,Erskine Hawkins / Bill Johnson / Julian Dash / Buddy Feyne,1939,1,completa
Twelfth Street Rag,Euday L. Bowman,1914,1,completa
Two for the Road,,,1,titulo
Улыбка,,,1,titulo
Un homme et une femme,,,1,titulo
Unchained Melody,,,1,titulo
Undecided,Sid Robin / Charlie Shavers,1938,1,completa
Une vie d’amour,Georges Garvarentz / Charles Aznavour,1981,1,completa
Unforgettable,Irving Gordon,1951,1,completa
Up a Lazy River,Hoagy Carmichael / Sidney Arodin,1930,1,completa
Up Jumped Spring,,,1,titulo
Va Bank,Henryk Kuzniak,1981,1,completa
Veja Bem Meu Bem,,,1,titulo
Virgo,,,1,titulo
Visa från Utanmyra,,,1,titulo
Volare,,,1,titulo
Voyage,,,1,titulo
Walkin’ My Baby Back Home,Fred E. Ahlert / Roy Turk,1930,1,completa
Washington & Lee Swing,Mark W. Sheafe / Thornton W. Allen / Clarence A. (Tod) Robbins,1910,1,completa
Watermelon Man,,,1,titulo
Wave,Antonio Carlos Jobim,1967,1,completa
Way down yonder in New Orleans,Joe Turner Layton / Henry Creamer,1922,1,completa
"Well, You Needn’t",Thelonious Monk,1944,1,completa
What a diff’rence a day made,María Grever / Stanley Adams,1934,1,completa
What a Wonderful World,Bob Thiele / George David Weiss,1967,1,completa
What Are You Doing the Rest of Your Life,Michel Legrand / Alan Bergman / Marilyn Bergman,1969,1,completa
What Is This Thing Called Love,Cole Porter,1929,1,completa
Whatever Lola wants,,,1,titulo
What`s New,Bob Hggart,,1,completa
When I Fall In Love,Victor Young / Edward Heyman,1952,1,completa
When I Grow Too Old To Dream,Sigmund Romberg / Oscar Hammerstein II,1934,1,completa
When Sunny Gets Blue,,,1,titulo
When the Saints,Spiritual,,1,completa
When Will the Blues Leave,Ornette Coleman,1958,1,completa
When you`re smiling,Larry Shay / Mark Fisher / Joe Goodwin,1928,1,completa
Whisper Not,Benny Golson / Leonard Feather,1956,1,completa
White Christmas,,,1,titulo
Who Can I Turn To?,Anthony Newley / Leslie Bricusse,1964,0,
Who walk in when I walk out,Al Goodhart / Al Hoffman / Ralph Freed,1933,1,completa
Who`s Sorry Now,Ted Snyder / Bert Kalmar / Harry Ruby,1923,1,completa
Why Don’t You Do Right,Kansas Joe McCoy / Herb Morand,1936,1,completa
Willie the weeper,Walter Melrose / Grant Rymal / Marty Bloom,1904,1,completa
Willow Weep for Me,Ann Ronell,1932,1,completa
Windows,Chick Corea,1966,1,completa
Whispering,Malvin Schonberger / John Schonberger,1920,1,completa
Witchcraft,,,1,titulo
Wolverine blues,Jelly Roll Morton / Benjamin Franklin “Reb” Spikes / John Curry Spikes,1923,1,completa
Yardbird Suite,Charlie Parker,1946,1,completa
"Yes, Sir!",Walter Donaldson / Gus Kahn,1925,1,completa
Yesterdays,Jerome Kern / Otto Harbach,1933,1,completa
You Always Hurt The One You Love,Allan Roberts / Doris Fisher,1944,1,completa
You Are The Sunshine of My Life,Stevie Wonder,1973,1,completa
You Call Everybody Darling,Sam Martin / Ben Trace / Clem Watts,1946,1,completa
You Can Depend On Me,Charles Carpenter / Louis Dunlap / Earl “Fatha” Hines,1931,1,completa
You Don’t Know What Love Is,,,1,titulo
You Made Me Love You,James V. Monaco / Joseph McCarthy,1913,1,completa
You Make Me Feel So Young,,,1,titulo
You Took Advantage Of Me,Richard Rodgers / Lorenz Hart,1928,1,completa
You’d Be So Nice to Come Home To,Cole Porter,1942,1,completa
You’ve Changed,Carl Fischer / Bill Carey,1942,1,completa
